value,description
CW379,P302 - IF ON SKIN: P334 - Immerse in cool water/wrap in wet bandages.
CW380,P303 - IF ON SKIN (or hair): P334 - Immerse in cool water/wrap in wet bandages.
CW381,P337 - If eye irritation persists: P334 - Immerse in cool water/wrap in wet bandages.
CW382,P305 - IF IN EYES: P334 - Immerse in cool water/wrap in wet bandages.
CW383,P333 - If skin irritation occurs or rash occurs: P335 - Brush off loose particles from skin.
CW384,P302 - IF ON SKIN: P335 - Brush off loose particles from skin.
CW385,P303 - IF ON SKIN (or hair): P335 - Brush off loose particles from skin.
CW386,P306 - IF ON CLOTHING: P335 - Brush off loose particles from skin.
CW387,P307 - IF exposed: P335 - Brush off loose particles from skin.
CW388,P308 - IF exposed or concerned: P335 - Brush off loose particles from skin.
CW389,P309 - IF exposed or if you feel unwell: P335 - Brush off loose particles from skin.
CW390,P333 - If skin irritation occurs or rash occurs: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW391,P302 - IF ON SKIN: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW392,P303 - IF ON SKIN (or hair): P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW393,P305 - IF IN EYES: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW394,P307 - IF exposed: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW395,P308 - IF exposed or concerned: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW396,P309 - IF exposed or if you feel unwell: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW397,"P305 - IF IN EYES: P338 - Remove contact lenses, if present and easy to do. Continue rinsing."
CW398,"P307 - IF exposed: P338 - Remove contact lenses, if present and easy to do. Continue rinsing."
CW399,"P308 - IF exposed or concerned: P338 - Remove contact lenses, if present and easy to do. Continue rinsing."
CW400,"P309 - IF exposed or if you feel unwell: P338 - Remove contact lenses, if present and easy to do. Continue rinsing."
CW401,P304 - IF INHALED: P340 - Remove victim to fresh air and keep at rest in a position comfortable for breathing.
CW402,P307 - IF exposed: P340 - Remove victim to fresh air and keep at rest in a position comfortable for breathing.
CW403,P308 - IF exposed or concerned: P340 - Remove victim to fresh air and keep at rest in a position comfortable for breathing.
